id,Datum,Fastenzeit
150323,2015-03-23,1
150324,2015-03-24,1
150325,2015-03-25,1
150326,2015-03-26,1
150327,2015-03-27,1
150328,2015-03-28,1
150329,2015-03-29,1
150330,2015-03-30,1
150331,2015-03-31,1
150401,2015-04-01,1
150402,2015-04-02,1
150403,2015-04-03,1
150404,2015-04-04,1
150405,2015-04-05,0
150406,2015-04-06,0
150407,2015-04-07,0
150408,2015-04-08,0
150409,2015-04-09,0
150410,2015-04-10,0
150411,2015-04-11,0
150412,2015-04-12,0
150413,2015-04-13,0
150414,2015-04-14,0
150415,2015-04-15,0
150416,2015-04-16,0
150417,2015-04-17,0
150418,2015-04-18,0
150419,2015-04-19,0
150420,2015-04-20,0
150421,2015-04-21,0
150422,2015-04-22,0
150423,2015-04-23,0
150424,2015-04-24,0
150425,2015-04-25,0
150426,2015-04-26,0
150427,2015-04-27,0
150428,2015-04-28,0
150429,2015-04-29,0
150430,2015-04-30,0
150501,2015-05-01,0
150502,2015-05-02,0
150503,2015-05-03,0
150504,2015-05-04,0
150505,2015-05-05,0
150506,2015-05-06,0
150507,2015-05-07,0
150508,2015-05-08,0
150509,2015-05-09,0
150510,2015-05-10,0
150511,2015-05-11,0
150512,2015-05-12,0
150513,2015-05-13,0
150514,2015-05-14,0
150515,2015-05-15,0
150516,2015-05-16,0
150517,2015-05-17,0
150518,2015-05-18,0
150519,2015-05-19,0
150520,2015-05-20,0
150521,2015-05-21,0
150522,2015-05-22,0
150523,2015-05-23,0
150524,2015-05-24,0
150525,2015-05-25,0
150526,2015-05-26,0
150527,2015-05-27,0
150528,2015-05-28,0
150529,2015-05-29,0
150530,2015-05-30,0
150531,2015-05-31,0
150601,2015-06-01,0
150602,2015-06-02,0
150603,2015-06-03,0
150604,2015-06-04,0
150605,2015-06-05,0
150606,2015-06-06,0
150607,2015-06-07,0
150608,2015-06-08,0
150609,2015-06-09,0
150610,2015-06-10,0
150611,2015-06-11,0
150612,2015-06-12,0
150613,2015-06-13,0
150614,2015-06-14,0
150615,2015-06-15,0
150616,2015-06-16,0
150617,2015-06-17,0
150618,2015-06-18,0
150619,2015-06-19,0
150620,2015-06-20,0
150621,2015-06-21,0
150622,2015-06-22,0
150623,2015-06-23,0
150624,2015-06-24,0
150625,2015-06-25,0
150626,2015-06-26,0
150627,2015-06-27,0
150628,2015-06-28,0
150629,2015-06-29,0
150630,2015-06-30,0
150701,2015-07-01,0
